,u1,u2,u3,u4,u5,u6,u7
u1,245,15,16,2,51,6,4
u2,19,188,5,1,45,6,0
u3,30,11,160,8,29,3,1
u4,21,0,13,67,6,0,1
u5,13,17,18,4,247,18,0
u6,26,33,26,2,71,119,0
u7,29,4,11,0,12,7,42
