,u1,u2,u3,u4,u5,u6,u7
u1,77.86885,0.8196721,2.4590163,1.6393442,9.836065,1.6393442,5.7377048
u2,3.903904,68.46847,3.0030031,1.2012012,15.9159155,2.7027028,4.804805
u3,2.7322404,3.2786884,80.327866,2.7322404,5.464481,0.5464481,4.9180326
u4,0.0,2.631579,0.877193,74.5614,18.421053,0.0,3.508772
u5,1.0600706,6.713781,1.7667844,1.7667844,72.08481,2.1201413,14.487633
u6,1.5625,9.765625,3.90625,1.171875,19.140625,62.890625,1.5625
u7,0.0,5.633803,3.5211267,3.5211267,26.760563,1.4084507,59.15493
