,u1,u2,u3,u4,u5,u6,u7
u1,66.92913,22.047245,2.7559056,0.39370078,5.5118113,2.3622048,0.0
u2,3.1365314,77.490776,3.5055351,0.18450184,4.612546,8.487085,2.583026
u3,5.185185,37.037037,41.975307,0.7407407,4.1975307,9.382716,1.4814814
u4,9.708738,18.446602,5.8252425,62.13592,0.9708738,0.9708738,1.9417475
u5,6.329114,36.07595,4.43038,0.9493671,50.0,1.5822785,0.6329114
u6,2.3255813,33.430233,5.2325583,0.5813953,2.6162791,54.94186,0.872093
u7,4.6511626,40.697674,2.9069767,1.744186,2.3255813,5.8139534,41.860466
