,u1,u2,u3,u4,u5,u6,u7
u1,95,1,3,2,12,2,7
u2,13,228,10,4,53,9,16
u3,5,6,147,5,10,1,9
u4,0,3,1,85,21,0,4
u5,3,19,5,5,204,6,41
u6,4,25,10,3,49,161,4
u7,0,8,5,5,38,2,84
