,u1,u2,u3,u4,u5,u6,u7
u1,297,8,16,1,4,13,0
u2,19,215,1,0,12,17,0
u3,15,1,214,0,6,6,0
u4,7,4,7,89,1,0,0
u5,34,9,22,0,232,20,0
u6,19,7,12,0,10,229,0
u7,8,5,20,0,3,8,61
