,u1,u2,u3,u4,u5,u6,u7
u1,67.92453,0.0,0.0,0.0,9.433962,20.754717,1.8867924
u2,0.0,92.888885,2.2222223,0.44444445,1.3333334,2.6666667,0.44444445
u3,0.0,1.1111112,60.555557,22.777779,1.1111112,12.222222,2.2222223
u4,0.6849315,1.369863,1.369863,74.65753,6.849315,1.369863,13.69863
u5,2.617801,2.617801,3.6649215,10.994764,65.96859,5.7591624,8.376964
u6,0.5494506,1.6483517,0.5494506,2.7472527,1.0989012,89.01099,4.3956046
u7,0.0,1.3888888,0.6944444,13.194445,0.6944444,4.1666665,79.861115
