,u1,u2,u3,u4,u5,u6,u7
u1,61,20,23,5,42,17,3
u2,1,104,11,3,43,7,1
u3,4,15,170,4,85,10,4
u4,0,2,8,40,40,1,1
u5,3,17,21,0,162,2,1
u6,0,16,3,1,6,122,0
u7,2,10,9,1,28,0,39
