,u1,u2,u3,u4,u5,u6,u7
u1,84.61539,8.241758,2.7472527,1.6483517,1.6483517,0.5494506,0.5494506
u2,2.2573364,86.45598,3.8374717,2.9345372,1.5801355,2.2573364,0.6772009
u3,10.8465605,16.931217,64.81481,1.3227513,3.1746032,1.8518518,1.0582011
u4,2.1276596,22.127659,3.4042554,70.6383,1.7021277,0.0,0.0
u5,5.13834,21.73913,4.743083,1.9762846,59.288536,5.928854,1.1857708
u6,2.734375,17.578125,3.90625,3.515625,2.34375,67.1875,2.734375
u7,9.154929,8.450705,2.8169014,13.380281,3.5211267,1.4084507,61.267605
