,u1,u2,u3,u4,u5,u6,u7
u1,80.21978,10.439561,4.3956046,1.6483517,1.6483517,0.0,1.6483517
u2,1.5801355,79.909706,2.0316026,3.3860044,5.1918736,5.8690743,2.0316026
u3,1.8518518,15.079365,62.16931,5.5555553,8.201058,4.7619047,2.3809524
u4,0.0,19.574469,1.7021277,70.21277,3.8297873,2.9787233,1.7021277
u5,0.3952569,19.762846,2.7667985,2.3715415,67.19367,5.533597,1.9762846
u6,0.390625,14.0625,1.5625,0.78125,7.421875,74.21875,1.5625
u7,0.70422536,7.0422535,1.4084507,5.633803,3.5211267,1.4084507,80.28169
