,u1,u2,u3,u4,u5,u6,u7
u1,134,50,32,1,16,14,7
u2,1,433,65,0,8,21,14
u3,4,87,268,1,10,25,10
u4,0,20,4,70,5,1,3
u5,1,52,54,0,178,15,16
u6,2,71,40,0,3,223,5
u7,2,27,27,0,2,7,107
