,u1,u2,u3,u4,u5,u6,u7
u1,135,2,2,0,27,3,2
u2,18,116,3,1,27,2,3
u3,25,4,176,14,68,3,2
u4,11,1,2,52,26,0,0
u5,13,2,7,5,175,2,2
u6,5,1,1,1,8,132,0
u7,13,5,2,1,10,0,58
