,u1,u2,u3,u4,u5,u6,u7
u1,36,0,0,0,5,11,1
u2,0,209,5,1,3,6,1
u3,0,2,109,41,2,22,4
u4,1,2,2,109,10,2,20
u5,5,5,7,21,126,11,16
u6,1,3,1,5,2,162,8
u7,0,2,1,19,1,6,115
