,u1,u2,u3,u4,u5,u6,u7
u1,253,59,2,3,6,13,3
u2,7,245,0,0,5,6,1
u3,8,25,172,0,23,13,1
u4,1,7,1,89,4,3,3
u5,2,67,0,0,232,14,2
u6,3,44,2,0,12,214,2
u7,0,9,4,0,3,8,81
