,u1,u2,u3,u4,u5,u6,u7
u1,170,56,7,1,14,6,0
u2,17,420,19,1,25,46,14
u3,21,150,170,3,17,38,6
u4,10,19,6,64,1,1,2
u5,20,114,14,3,158,5,2
u6,8,115,18,2,9,189,3
u7,8,70,5,3,4,10,72
