,u1,u2,u3,u4,u5,u6,u7
u1,42,0,1,0,5,5,0
u2,0,197,10,0,11,7,0
u3,0,0,146,24,2,8,0
u4,2,4,16,108,9,5,2
u5,1,4,14,23,127,16,6
u6,0,0,5,4,0,171,2
u7,0,1,6,13,3,11,110
