,u1,u2,u3,u4,u5,u6,u7
u1,63.414635,2.9268293,1.9512196,1.4634147,20.0,7.804878,2.4390244
u2,0.65789473,73.02631,2.631579,0.0,12.5,10.526316,0.65789473
u3,2.5210085,0.42016807,58.82353,0.42016807,11.344538,26.05042,0.42016807
u4,8.8,0.8,2.4,81.6,1.6,1.6,3.2
u5,3.8709676,6.129032,8.064516,2.2580645,54.51613,21.935484,3.2258065
u6,1.1363636,1.1363636,3.9772727,0.5681818,12.215909,79.829544,1.1363636
u7,14.285714,1.2987013,3.2467532,1.9480519,17.532467,12.987013,48.701298
