,u1,u2,u3,u4,u5,u6,u7
u1,119,12,2,0,23,3,12
u2,6,126,3,1,25,1,8
u3,29,15,158,1,54,13,22
u4,5,4,3,49,26,0,5
u5,14,12,8,2,157,8,5
u6,5,17,3,0,3,119,1
u7,3,8,0,0,4,0,74
