,u1,u2,u3,u4,u5,u6,u7
u1,121,28,4,19,6,2,2
u2,6,374,12,8,18,25,0
u3,21,118,162,30,21,22,4
u4,7,74,3,135,10,5,1
u5,6,80,5,11,131,19,1
u6,10,76,4,12,14,138,2
u7,3,27,8,13,21,8,62
