,u1,u2,u3,u4,u5,u6,u7
u1,35.672516,11.695907,13.450293,2.9239767,24.561403,9.941521,1.754386
u2,0.5882353,61.17647,6.470588,1.7647059,25.294117,4.117647,0.5882353
u3,1.369863,5.1369863,58.219177,1.369863,29.109589,3.4246576,1.369863
u4,0.0,2.173913,8.695652,43.47826,43.47826,1.0869565,1.0869565
u5,1.4563106,8.252427,10.194175,0.0,78.64078,0.9708738,0.4854369
u6,0.0,10.810811,2.0270271,0.6756757,4.0540543,82.432434,0.0
u7,2.247191,11.235955,10.11236,1.1235955,31.460674,0.0,43.820225
