,u1,u2,u3,u4,u5,u6,u7
u1,75.471695,1.8867924,7.5471697,1.8867924,5.6603775,3.7735848,3.7735848
u2,1.3333334,91.111115,0.44444445,1.3333334,4.4444447,1.3333334,0.0
u3,0.0,2.7777777,68.888885,17.777779,5.5555553,3.8888888,1.1111112
u4,2.739726,7.5342464,2.739726,50.684933,21.917809,1.369863,13.013699
u5,4.188482,10.994764,5.235602,12.041884,61.780106,2.617801,3.1413612
u6,1.0989012,7.6923075,5.4945054,3.8461537,0.5494506,79.12088,2.1978023
u7,0.6944444,15.277778,6.9444447,13.194445,1.3888888,2.0833333,60.416668
