,u1,u2,u3,u4,u5,u6,u7
u1,150,2,3,5,35,5,5
u2,2,131,0,0,13,5,1
u3,6,2,175,0,29,23,3
u4,0,0,0,119,3,0,3
u5,3,9,23,2,191,69,13
u6,2,7,5,2,39,291,6
u7,7,2,2,4,27,3,109
