,u1,u2,u3,u4,u5,u6,u7
u1,75,7,1,0,35,1,3
u2,1,211,5,1,80,24,11
u3,0,11,138,0,25,4,5
u4,0,2,3,74,31,3,1
u5,3,12,9,0,251,1,7
u6,2,10,8,0,49,184,3
u7,1,21,9,0,55,4,52
