,u1,u2,u3,u4,u5,u6,u7
u1,146,19,12,3,2,0,0
u2,3,382,33,7,9,8,1
u3,4,63,287,7,15,2,0
u4,4,39,31,153,6,0,2
u5,2,46,26,5,172,2,0
u6,1,53,23,7,13,156,3
u7,2,13,12,3,15,1,96
