,u1,u2,u3,u4,u5,u6,u7
u1,66.48351,15.384615,2.1978023,10.439561,3.2967033,1.0989012,1.0989012
u2,1.3544018,84.42438,2.7088037,1.8058691,4.0632052,5.643341,0.0
u3,5.5555553,31.21693,42.857143,7.9365077,5.5555553,5.820106,1.0582011
u4,2.9787233,31.48936,1.2765957,57.446808,4.255319,2.1276596,0.42553192
u5,2.3715415,31.620554,1.9762846,4.347826,51.778656,7.5098815,0.3952569
u6,3.90625,29.6875,1.5625,4.6875,5.46875,53.90625,0.78125
u7,2.1126761,19.014084,5.633803,9.154929,14.788733,5.633803,43.661972
