,u1,u2,u3,u4,u5,u6,u7
u1,172,26,31,6,5,11,3
u2,6,393,60,1,10,57,15
u3,3,64,280,3,5,44,6
u4,3,9,2,83,1,2,3
u5,9,49,48,0,186,18,6
u6,2,43,45,0,4,250,0
u7,4,21,30,5,4,5,103
