,u1,u2,u3,u4,u5,u6,u7
u1,312,5,15,2,0,5,0
u2,43,203,2,1,2,12,1
u3,18,7,211,0,2,3,1
u4,4,1,4,98,0,0,1
u5,61,17,28,0,170,39,2
u6,38,11,18,0,5,203,2
u7,10,5,8,0,1,6,75
