,u1,u2,u3,u4,u5,u6,u7
u1,103,12,18,2,27,2,7
u2,4,127,11,0,24,1,3
u3,10,4,229,1,39,3,6
u4,3,0,8,51,28,1,1
u5,1,7,29,0,162,2,5
u6,0,7,2,0,5,134,0
u7,2,6,10,0,3,0,68
