,u1,u2,u3,u4,u5,u6,u7
u1,67.71654,10.23622,12.204724,2.3622048,1.968504,4.3307085,1.1811024
u2,1.1070111,72.509224,11.07011,0.18450184,1.8450185,10.516605,2.7675276
u3,0.7407407,15.802469,69.1358,0.7407407,1.2345679,10.864198,1.4814814
u4,2.9126213,8.7378645,1.9417475,80.58253,0.9708738,1.9417475,2.9126213
u5,2.8481014,15.50633,15.189874,0.0,58.86076,5.6962028,1.8987342
u6,0.5813953,12.5,13.081395,0.0,1.1627907,72.674416,0.0
u7,2.3255813,12.209302,17.44186,2.9069767,2.3255813,2.9069767,59.88372
