,u1,u2,u3,u4,u5,u6,u7
u1,87.61062,2.359882,4.719764,0.29498526,1.179941,3.8348083,0.0
u2,7.1969695,81.43939,0.37878788,0.0,4.5454545,6.439394,0.0
u3,6.198347,0.41322315,88.42975,0.0,2.479339,2.479339,0.0
u4,6.4814816,3.7037036,6.4814816,82.40741,0.9259259,0.0,0.0
u5,10.725552,2.8391168,6.940063,0.0,73.18612,6.3091483,0.0
u6,6.8592057,2.5270758,4.33213,0.0,3.6101084,82.67148,0.0
u7,7.6190476,4.7619047,19.047619,0.0,2.857143,7.6190476,58.095238
