,u1,u2,u3,u4,u5,u6,u7
u1,58,25,73,6,16,4,0
u2,0,330,27,12,17,53,4
u3,0,67,259,6,31,14,1
u4,0,46,11,136,20,12,10
u5,0,53,16,3,156,24,1
u6,0,39,11,10,14,182,0
u7,1,20,5,5,71,4,36
